2009-60855,Rosales,Abby,,BSChem,CAS,abby_rosales@gmail.com
2011-49156,Malabuyoc,Zinnia Kale,,BSCS,CAS,zkmalabuyoc@gmail.com
2009-60974,Rojas,Roma Karmela,,BSCS,CAS,rkrojas@gmail.com
2011-61214,dela Cruz,Juan,Manuel,BSStat,CAS,jmdc@gmail.com
2010-32214,Mondez,John James,Ocampo,BSStat,CAS,jjomondez@gmail.com
2015-12345,de Robles,Marie,,BSCS,CAS,mbderobles2@up.edu.ph
2009-14555,Binay,Jejomar,,BSEE,CEAT,jejbinay@gmail.com
2015-12086,Poe,Grace,,BSEE,CEAT,gpoewz@gmail.com
2009-68833,Sanchez,Korina,,BSDC,CDC,kkksanchez@gmail.com
2009-55430,Roxas,Mar,,BSCA,CAS,marroxas@gmail.com
2009-63244,Duterte,Rodrigo,,BSDC,CDC,roddu30@gmail.com
2009-77777,Santiago,Miriam,,BSBio,CAS,msantiago@gmail.com
